
RDX
TN|CribId|TLife
--|------|-----
 1|008431| 5000
 1|16410 |40000
 2|007221| 5000
 4|16405 | 5000
 4|16406 | 5000
 5|16461 |10000
 7|16110 |10000
 8|16111 |10000
 9|16130 |10000
10|16680 |40000
11|12623 | 5000
12|16409 |40000
13|16407 |40000
16|16408 |40000



P558 Knuckles

TN |CribId |TLife		
---|-------|-----		
T01|009196 |  200		
T4 |17100  | 3000		
T6 |009240 |  200		
T6 | 008318 | 200		
T6 |15721  |  200		Alternate
T7 |008485 | 2500		
T9 |007864 | 3000		
T8 |007864 | 3000		
T12|010338 |18000		
T12|008410 |18000		Alternate
T13|0003396|  800		
T14|008435 | 5000		
T15|009155 |  300		Alternate
T15|13753  |  300		
T21|17022  |  200		
T22|14710  | 2500		
T23|0000951| 3000		
T30|16547  |  350		
T33->T34|010559 | TL.1000,OTLM:2000		
T33|15843  |  200		
T72|14855  | 1800		
